Assembly	Strain	WGS	Bioproject	BioSample	name
GCA_028557235.1	AV4P5C	JAOYTD000000000	PRJNA892251	SAMN31373215	ECp1
GCA_028557215.1	AV5P5C	JAOYTB000000000	PRJNA892251	SAMN31373217	ECp2
GCA_028557255.1	AV5P3A	JAOYTC000000000	PRJNA892251	SAMN31373216	ECp3
GCA_028555145.1	AV4P2D	JAPAAJ000000000	PRJNA892251	SAMN31373214	ECp4
GCA_028557175.1	AV8P6C	JAOYSZ000000000	PRJNA892251	SAMN31373219	ECp5
GCA_028557145.1	AV8P7A	JAOYSY000000000	PRJNA892251	SAMN31373220	ECp6
GCA_028557135.1	AV8P4C	JAOYTA000000000	PRJNA892251	SAMN31373218	ECp7
GCA_028557115.1	C1P7B	JAOYSW000000000	PRJNA892251	SAMN31373222	ECc8
GCA_028557095.1	C3P2B	JAOYSS000000000	PRJNA892251	SAMN31373226	ECc9
GCA_028557195.1	C17	JAOYSX000000000	PRJNA892251	SAMN31373221	ECc10
GCA_028557065.1	C2P10C	JAOYSV000000000	PRJNA892251	SAMN31373223	ECc11
GCA_028557055.1	C3P2A	JAOYST000000000	PRJNA892251	SAMN31373225	ECc12
GCA_028557035.1	C3P4B	JAOYSR000000000	PRJNA892251	SAMN31373227	ECc13
GCA_028557015.1	C2P10E	JAOYSU000000000	PRJNA892251	SAMN31373224	ECc14
GCA_034044095.1	ECPI21	JAXCIF000000000	PRJNA992559	SAMN36359463	ECm15
GCA_033947685.1	ECACA6MA	JAULDF000000000	PRJNA992559	SAMN36359458	ECm16
GCA_033947655.1	ECLLAH2A	JAULDD000000000	PRJNA992559	SAMN36359461	ECm17
GCA_033947645.1	ECCUA8AM	JAULDE000000000	PRJNA992559	SAMN36359459	ECm18
GCA_033947625.1	ECPI13	JAULDA000000000	PRJNA992559	SAMN36359462	ECm19
GCA_033947595.1	ECIM19	JAULDB000000000	PRJNA992559	SAMN36359460	ECm20
GCA_033947585.1	SMJ6A	JAULDC000000000	PRJNA992559	SAMN36359464	ECm21
GCA_002761795.1	ECA1	PEQH00000000	PRJNA992559	SAMN07947779	ECa22
GCA_002761805.1	ECB1	PEQI00000000	PRJNA992559	SAMN07947796	ECa23
GCA_029782655.1	18-11	JAREMV000000000	PRJNA931432 	SAMN33440879	ECh24
GCA_029783225.1	19-26	JARENX000000000	PRJNA931432 	SAMN33440904	ECh25
GCA_000005845.2	K-12	U00096.3	PRJNA225 	SAMN02604091	ECK-12
